Motor Carrier ,Company,City,County,State,clean_city
,ARMAAN CARRIER INC,North Hills,Los Angeles,CA,los angeles
1925605.0,ARMAANS TRUCKING INC,BAKERSFIELD,,CA,bakersfield
,ARMAN TRUCK LINE INC,BAKERSFIELD,,CA,bakersfield
418713.0,ARMANDO GAUCIN JR.,Los Angeles,Los Angeles,CA,los angeles
,ARMANDO'S TRANSPORT,Oxnard,Ventura,CA,oxnard
3108026.0,ARORA EXPRESS INC,FRESNO,,CA,fresno
,ARRIVE WORLD INC,Pomona,Los Angeles,CA,pomona
2321054.0,ARROYOS TRANSPORT,SAN DIEGO,,CA,san diego
2519051.0,ARSH GREWAL EXPRESS LINE,Fresno,Fresno,CA,fresno
3105166.0,ARSHDEEP SINGH,ELK GROVE,,CA,elk grove
3434935.0,ARTHUR ARAKELIAN,N HOLLYWOOD,,CA,los angeles
2059383.0,ARTUR TRUCKING,VALLEY VLG,Los Angeles,CA,los angeles
,ARTWORKS SAN DIEGO,San Diego,San Diego,CA,san diego
2865004.0,ARVEDI TRUCKING INC,BAKERSFIELD,Kern,CA,bakersfield
,ARVINDER SINGH,YUBA CITY,,CA,yuba city
2210788.0,ARY LOGISTICS SYSTEM INC,CLOVIS,,CA,clovis
,"ARYA ICE CREAM DIST. CO., INC.",Los Angeles,Los Angeles,CA,los angeles
3571011.0,ARYAN CARRIERS INC,FRESNO,,CA,fresno
3172086.0,AS FREIGHT,TURLOCK,,CA,turlock
1474309.0,AS TRUCKING,FRESNO,Fresno,CA,fresno
1988997.0,ASC TRANSPORT INC,FRESNO,Fresno,CA,fresno
2386899.0,ASIA PACIFIC GROUP INC,HEMET,,CA,hemet
,ASP CARRIER INC,LIVINGSTON,,CA,livingston
3291604.0,"ASPECTU TRANSPORT, LLC.",LONG BEACH,,CA,long beach
3953775.0,AST CARGO INC,SACRAMENTO,,CA,sacramento
2070989.0,ATI,BAKERSFIELD,Kern,CA,bakersfield
,ATKINS SHEEP RANCH,Fremont,Alameda,CA,fremont
2290717.0,ATLA LOGISTICS INC,Stockton,San Joaquin,CA,stockton
2314674.0,ATLAS ROAD LINES INC.,FRESNO,Fresno,CA,fresno
1304687.0,ATS EXPRESS,FRESNO,,CA,fresno
1039844.0,ATS XPRESS INC,ROCKLIN,,CA,rocklin
173963.0,ATTHOWE FINE ART SERVICES,Emeryville,Alameda,CA,emeryville
2487458.0,ATWAL TRUCKING,Fresno,Fresno,CA,fresno
2343120.0,AUGELLO ENTERPRISES LLC,LONG BEACH,,CA,long beach
3058401.0,AUJLA TRANSPORT GROUP INC.,MANTECA,,CA,manteca
,AUJLA TRUCK LINE,FRESNO,Fresno,CA,fresno
451966.0,AUJLA TRUCKING,Sacramento,Sacramento,CA,sacramento
1063440.0,AURORA TRANSPORTATION,Folsom,Sacramento,CA,folsom
2554848.0,AUTOTRANSPORTE Y COMERCIALIZADORA JARA SADECV LLC,SAN YSIDRO,,CA,san diego
3232711.0,"AUW VENTURES, INC.",WATSONVILLE,,CA,watsonville
3933844.0,AV LOGISTICS INC,FRESNO,,CA,fresno
2844747.0,AVALON TRANSPORT INC,YUBA CITY,Yuba,CA,yuba city
255528.0,AVALOS JR TRUCKING,OCEANSIDE,,CA,oceanside
1938512.0,AVALOS TRANSPORT,Oxnard,Ventura,CA,oxnard
2333466.0,AVATAR EXPRESS,Sun City,Riverside,CA,menifee
882258.0,AVELARDO JERONIMO DUARTE  DBA AVEL TRUCKIN,WATSONVILLE,,CA,watsonville
3191233.0,"AVICENA NETWORK, INC.",TEMPLE CITY,,CA,temple city
3420212.0,AVILA TRANSPORT,FRESNO,,CA,fresno
3280643.0,"AVILA TRUCKING, ANTONIO AVILA DBA",VICTORVILLE,,CA,victorville
2324945.0,AVILES TRANSPORTATION,Watsonville,Santa Cruz,CA,watsonville
1563021.0,AVILES TRANSPORTATION INC,Rialto,San Bernardino,CA,rialto
3137272.0,AVTAR EXPRES INC,REDLANDS,,CA,redlands
2288338.0,AVTAR TRANS INC,Bakersfield,Kern,CA,bakersfield
