NAME,households,median_income,mean_income
"Fort Washington CDP, California",100,108088,109941
"Foster City city, California",12475,173721,211432
"Fountain Valley city, California",18852,92765,121234
"Fowler city, California",2107,61712,80484
"Franklin CDP (Merced County), California",2056,50290,59284
"Franklin CDP (Sacramento County), California",15,-,N
"Frazier Park CDP, California",1164,37662,64952
"Freedom CDP, California",950,93253,113456
"Freeport CDP, California",0,-,-
"Fremont city, California",74629,153475,183248
"French Camp CDP, California",458,71250,75516
"French Gulch CDP, California",150,46071,58369
"French Valley CDP, California",10032,116972,136026
"Fresno city, California",174756,57211,77982
"Friant CDP, California",217,51146,60456
"Fruitdale CDP, California",520,151364,186134
"Fruitridge Pocket CDP, California",1893,40717,47607
"Fuller Acres CDP, California",157,32417,43744
"Fullerton city, California",46434,92718,126334
"Fulton CDP, California",134,146000,114100
"Furnace Creek CDP, California",58,42813,42012
"Galt city, California",8090,77669,95938
"Garberville CDP, California",671,24375,32520
"Gardena city, California",20806,68413,84065
"Garden Acres CDP, California",2911,48956,58817
"Garden Farms CDP, California",185,-,65625
"Garden Grove city, California",48217,78046,95976
"Garey CDP, California",22,101250,108677
"Garnet CDP, California",1851,43906,57280
"Gasquet CDP, California",232,43333,47633
"Gazelle CDP, California",53,38750,54913
"Georgetown CDP, California",1334,80850,87081
"Gerber CDP, California",548,-,56976
"Geyserville CDP, California",339,90938,114883
"Gilroy city, California",17023,116206,138490
"Glendale city, California",73394,74488,106268
"Glendora city, California",16861,103159,128965
"Glen Ellen CDP, California",517,"250,000+",356404
"Glennville CDP, California",23,-,44013
"Golden Hills CDP, California",3729,96054,118518
"Gold Mountain CDP, California",29,-,N
"Gold River CDP, California",3437,141339,174676
"Goleta city, California",11593,104830,123575
"Gonzales city, California",2293,73906,82162
"Good Hope CDP, California",1898,45785,58676
"Goodmanville CDP, California",51,190521,199088
"Goodyears Bar CDP, California",64,-,N
"Goshen CDP, California",1310,55494,72851
"Graeagle CDP, California",232,48750,102094
"Grand Terrace city, California",4721,76791,93396
"Grangeville CDP, California",135,72443,88027
"Granite Bay CDP, California",7725,161557,207653
"Granite Hills CDP, California",1224,131127,154588
"Graniteville CDP, California",5,-,-
"Grass Valley city, California",6495,44906,64685
"Graton CDP, California",631,86409,106667
"Grayson CDP, California",315,78438,79204
"Greeley Hill CDP, California",525,24761,46726
"Greenacres CDP, California",1536,76250,94375
"Green Acres CDP, California",903,63414,69628
"Greenfield CDP, California",959,68569,79096
"Greenfield city, California",4096,69474,80424
"Greenhorn CDP, California",100,26250,46836
"Green Valley CDP (Los Angeles County), California",416,91750,108603
"Green Valley CDP (Solano County), California",640,108750,162842
"Greenview CDP, California",49,-,58784
"Greenville CDP, California",325,29614,59152
"Grenada CDP, California",115,54861,57760
"Gridley city, California",2460,54261,69459
"Grimes CDP, California",147,34063,52876
"Grizzly Flats CDP, California",497,78415,80523
"Groveland CDP, California",267,52847,110180
"Grover Beach city, California",5067,77637,92123
"Guadalupe city, California",2051,58449,73515
"Guerneville CDP, California",2418,76484,103835
"Guinda CDP, California",33,-,111442
"Gustine city, California",2169,51376,71638
"Hacienda Heights CDP, California",16305,94617,119205
"Half Moon Bay city, California",4117,137346,191615
"Hamilton Branch CDP, California",191,60208,81643
"Hamilton City CDP, California",758,55000,55551
"Hanford city, California",18394,68316,82706
"Happy Camp CDP, California",388,34107,46015
"Happy Valley CDP, California",2023,62734,82455
"Harbison Canyon CDP, California",1454,86087,135690
"Hardwick CDP, California",47,-,38989
"Harmony Grove CDP, California",518,189435,178790
"Hartland CDP, California",0,-,-
"Hartley CDP, California",1059,108828,138336
"Hasley Canyon CDP, California",407,142708,164738
"Hat Creek CDP, California",38,75417,79663
"Hawaiian Gardens city, California",3733,66578,74642
"Hawthorne city, California",29199,63847,82302
"Hayfork CDP, California",991,39692,66799
"Hayward city, California",49524,98837,119723
"Healdsburg city, California",4626,94375,137804
"Heber CDP, California",1869,54668,65599
"Hemet city, California",30322,46194,63661
"Herald CDP, California",402,98140,102648
"Hercules city, California",9068,114124,137543
"Herlong CDP, California",110,48333,55345
"Hermosa Beach city, California",8926,144388,213338
"Hesperia city, California",28625,58578,72079
"Hickman CDP, California",216,82589,88926
"Hidden Hills city, California",667,"250,000+",399340
"Hidden Meadows CDP, California",1495,126089,135430
"Hidden Valley Lake CDP, California",2264,77051,90876
"Highgrove CDP, California",1892,90682,101656
"Highland city, California",16532,69225,96559
"Highlands CDP, California",904,"250,000+",359402
"Hillcrest CDP, California",2918,52980,71676
"Hillsborough town, California",3512,"250,000+",510494
"Hilmar-Irwin CDP, California",1851,65059,96263
"Hiouchi CDP, California",125,-,91211
"Hollister city, California",11736,87761,103667
"Holtville city, California",1518,45759,59365
"Home Garden CDP, California",429,39219,53050
"Home Gardens CDP, California",3124,77403,93290
"Homeland CDP, California",2137,50339,65833
"Homestead Valley CDP, California",1319,34236,41133
"Homewood Canyon CDP, California",86,-,78862
"Honcut CDP, California",86,162652,184813
"Hood CDP, California",70,-,51771
"Hoopa CDP, California",847,42361,61528
"Hopland CDP, California",315,59904,75220
"Hornbrook CDP, California",127,41719,55254
"Hornitos CDP, California",44,-,N
"Hughson city, California",2612,89256,95701
"Humboldt Hill CDP, California",1332,75085,92115
"Huntington Beach city, California",77143,104728,137528
"Huntington Park city, California",14179,51065,63128
"Huron city, California",1706,34714,48803
"Hyampom CDP, California",54,-,N
"Hydesville CDP, California",471,61875,87299
"Hypericum CDP, California",47,92841,74243
"Idlewild CDP, California",0,-,-
"Idyllwild-Pine Cove CDP, California",1299,73006,88733
"Igo CDP, California",56,109405,160736
"Imperial city, California",5147,81657,82812
"Imperial Beach city, California",9187,68917,84153
"Independence CDP, California",313,54063,63677
"Indian Falls CDP, California",13,-,N
"Indianola CDP, California",312,40769,72253
"Indian Wells city, California",2517,120680,208208
"Indio city, California",34458,59399,78194
"Indio Hills CDP, California",163,43983,43729
"Industry city, California",63,94063,99221
"Inglewood city, California",35738,62845,79836
"Interlaken CDP, California",2033,106843,140736
"Inverness CDP, California",871,72292,101307
"Inyokern CDP, California",363,62027,87074
"Ione city, California",2214,68902,79640
"Iron Horse CDP, California",167,50231,40956
"Irvine city, California",107166,114027,146465
"Irwindale city, California",416,96250,114521
"Isla Vista CDP, California",4571,22386,32936
"Isleton city, California",254,42083,56344
"Ivanhoe CDP, California",1233,42259,57208
"Jackson city, California",2048,63400,74663
"Jacumba CDP, California",226,-,43215
"Jamestown CDP, California",1932,43543,71566
"Jamul CDP, California",1953,126250,157112
"Janesville CDP, California",1146,68286,81253
"Jenner CDP, California",0,-,-
"Johannesburg CDP, California",45,-,N
"Johnson Park CDP, California",342,45756,44498
"Johnstonville CDP, California",401,85221,98102
"Johnsville CDP, California",0,-,-
