,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,regular,mid,premium,diesel
1253,06,62168,02583123,0662168,Robbins,Robbins CDP,robbins,4.3162,4.509,4.6781999999999995,5.287599999999999
1254,06,62200,02612487,0662200,Robinson Mill,Robinson Mill CDP,robinson mill,4.362,4.5306,4.6816,5.247400000000001
1255,06,62490,02409201,0662490,Rodeo,Rodeo CDP,rodeo,4.6502,4.8524,4.9908,5.615399999999999
1256,06,62496,02585443,0662496,Rodriguez Camp,Rodriguez Camp CDP,rodriguez camp,4.5114,4.708,4.889,5.5364
1257,06,62625,02628784,0662625,Rolling Hills,Rolling Hills CDP,rolling hills,4.4788,4.7012,4.9118,5.412599999999999
1258,06,62700,02409202,0662700,Rollingwood,Rollingwood CDP,rollingwood,4.6502,4.8524,4.9908,5.615399999999999
1259,06,62756,02409205,0662756,Romoland,Romoland CDP,romoland,4.5598,4.7698,4.911,5.444599999999999
1260,06,62826,02409208,0662826,Rosamond,Rosamond CDP,rosamond,4.604620046081778,4.769627124081024,4.971208760880185,5.693770648576556
1261,06,62854,02409211,0662854,Rosedale,Rosedale CDP,rosedale,4.6046,4.7696,4.9712000000000005,5.6938
1262,06,63106,02628785,0663106,Rough and Ready,Rough and Ready CDP,rough and ready,,,,
1263,06,63134,02409216,0663134,Round Mountain,Round Mountain CDP,round mountain,4.457,4.5764,4.7018,5.328
1264,06,63168,02628786,0663168,Rouse,Rouse CDP,rouse,4.3578,4.5728,4.7512,5.5232
1265,06,63218,02409220,0663218,Rowland Heights,Rowland Heights CDP,rowland heights,4.685579873683961,4.87918437814517,5.006577669373159,5.57513655418468
1266,06,63316,02409224,0663316,Running Springs,Running Springs CDP,running springs,4.5847999999999995,4.752800000000001,4.9164,5.4656
1267,06,63400,02583124,0663400,Rutherford,Rutherford CDP,rutherford,4.8506,4.9854,5.1236,5.6894
1268,06,64210,02409237,0664210,Salida,Salida CDP,salida,4.3578,4.5728,4.7512,5.5232
1269,06,64252,02583125,0664252,Salmon Creek,Salmon Creek CDP,salmon creek,4.7624,4.9706,5.1084000000000005,5.612
1270,06,64294,02409242,0664294,Salton City,Salton City CDP,salton city,4.4272,4.6132,4.7726,5.5649999999999995
1271,06,64420,02409247,0664420,San Andreas,San Andreas CDP,san andreas,,,,
1272,06,64462,02409248,0664462,San Antonio Heights,San Antonio Heights CDP,san antonio heights,4.584839786840063,4.752849891434366,4.9164356029064855,5.465643260294355
1273,06,64476,02409249,0664476,San Ardo,San Ardo CDP,san ardo,4.7262,4.924,5.0846,5.7104
1274,06,67070,02409255,0667070,San Geronimo,San Geronimo CDP,san geronimo,4.7588,4.946199999999999,5.1038,5.5982
1275,06,68112,02409260,0668112,San Lorenzo,San Lorenzo CDP,san lorenzo,4.6502,4.8524,4.9908,5.615399999999999
1276,06,68140,02409261,0668140,San Lucas,San Lucas CDP,san lucas,4.7262,4.924,5.0846,5.7104
1277,06,68238,02409264,0668238,San Martin,San Martin CDP,san martin,4.6662,4.8637999999999995,4.9976,5.5942
1278,06,68266,02409265,0668266,San Miguel,San Miguel CDP,san miguel,4.918,5.093999999999999,5.2308,5.82
1279,06,68308,02629291,0668308,San Pasqual,San Pasqual CDP,san pasqual,4.6856,4.8792,5.006600000000001,5.575200000000001
1280,06,68434,02583127,0668434,San Simeon,San Simeon CDP,san simeon,4.918,5.093999999999999,5.230800000000001,5.82
1281,06,69182,02583128,0669182,Santa Margarita,Santa Margarita CDP,santa margarita,4.918,5.093999999999999,5.2308,5.82
1282,06,70028,02583129,0670028,Santa Nella,Santa Nella CDP,santa nella,4.4396,4.6446,4.835,5.4504
1283,06,70154,02409283,0670154,Santa Venetia,Santa Venetia CDP,santa venetia,4.7588,4.946199999999999,5.1038,5.5982
1284,06,70266,02583130,0670266,Saranap,Saranap CDP,saranap,4.6502,4.8524,4.9908,5.615399999999999
1285,06,70336,02583131,0670336,Sattley,Sattley CDP,sattley,,,,
1286,06,70518,02611446,0670518,Scotia,Scotia CDP,scotia,,,,
1287,06,70644,02583132,0670644,Seacliff,Seacliff CDP,seacliff,4.6268,4.8768,5.002,5.6268
