random,trial_label,num_firms,count
4014,five_percent,2,27
4014,five_percent,3,66
4014,five_percent,4,73
4014,five_percent,5,27
7068,original,0,230
7068,original,1,55
7068,original,2,59
7068,original,3,64
7068,original,4,70
7068,original,5,47
7068,typical_business,0,231
7068,typical_business,1,54
7068,typical_business,2,59
7068,typical_business,3,64
7068,typical_business,4,70
7068,typical_business,5,47
7068,one_percent,0,246
7068,one_percent,1,51
7068,one_percent,2,53
7068,one_percent,3,59
7068,one_percent,4,71
7068,one_percent,5,45
7068,five_percent,0,286
7068,five_percent,1,57
7068,five_percent,2,36
7068,five_percent,3,36
7068,five_percent,4,79
7068,five_percent,5,31
3153,original,0,192
3153,original,1,55
3153,original,2,130
3153,original,3,30
3153,original,4,38
3153,original,5,80
3153,typical_business,0,193
3153,typical_business,1,55
3153,typical_business,2,129
3153,typical_business,3,30
3153,typical_business,4,38
3153,typical_business,5,80
3153,one_percent,0,195
3153,one_percent,1,58
3153,one_percent,2,128
3153,one_percent,3,26
3153,one_percent,4,39
3153,one_percent,5,79
3153,five_percent,0,205
3153,five_percent,1,65
3153,five_percent,2,122
3153,five_percent,3,34
3153,five_percent,4,37
3153,five_percent,5,62
9047,original,0,220
9047,original,1,92
9047,original,2,1
9047,original,3,99
9047,original,4,36
9047,original,5,77
9047,typical_business,0,220
9047,typical_business,1,92
9047,typical_business,2,3
9047,typical_business,3,99
9047,typical_business,4,34
9047,typical_business,5,77
9047,one_percent,0,222
9047,one_percent,1,93
9047,one_percent,2,2
9047,one_percent,3,102
9047,one_percent,4,40
9047,one_percent,5,66
9047,five_percent,0,242
9047,five_percent,1,95
9047,five_percent,2,6
9047,five_percent,3,90
9047,five_percent,4,52
9047,five_percent,5,40
9997,original,0,194
9997,original,1,53
9997,original,2,98
9997,original,3,54
9997,original,4,93
9997,original,5,33
9997,typical_business,0,195
9997,typical_business,1,53
9997,typical_business,2,97
9997,typical_business,3,55
9997,typical_business,4,93
9997,typical_business,5,32
9997,one_percent,0,195
9997,one_percent,1,55
9997,one_percent,2,97
9997,one_percent,3,53
9997,one_percent,4,93
9997,one_percent,5,32
9997,five_percent,0,217
9997,five_percent,1,64
9997,five_percent,2,83
9997,five_percent,3,45
9997,five_percent,4,91
9997,five_percent,5,25
4212,original,0,175
4212,original,1,59
4212,original,2,144
4212,original,3,39
4212,original,4,65
4212,original,5,43
4212,typical_business,0,175
4212,typical_business,1,59
4212,typical_business,2,144
4212,typical_business,3,39
4212,typical_business,4,65
4212,typical_business,5,43
4212,one_percent,0,175
4212,one_percent,1,63
4212,one_percent,2,146
4212,one_percent,3,33
4212,one_percent,4,71
4212,one_percent,5,37
4212,five_percent,0,194
4212,five_percent,1,64
4212,five_percent,2,133
4212,five_percent,3,32
4212,five_percent,4,77
4212,five_percent,5,25
625,original,0,266
625,original,1,70
625,original,2,46
625,original,3,22
625,original,4,47
625,original,5,74
625,typical_business,0,268
625,typical_business,1,70
625,typical_business,2,44
625,typical_business,3,22
625,typical_business,4,47
625,typical_business,5,74
625,one_percent,0,273
625,one_percent,1,71
625,one_percent,2,38
625,one_percent,3,25
625,one_percent,4,50
625,one_percent,5,68
625,five_percent,0,285
625,five_percent,1,83
625,five_percent,2,42
625,five_percent,3,14
625,five_percent,4,65
625,five_percent,5,36
3039,original,0,274
3039,original,1,52
3039,original,2,32
3039,original,3,41
3039,original,4,86
3039,original,5,40
3039,typical_business,0,274
3039,typical_business,1,54
3039,typical_business,2,32
3039,typical_business,3,39
3039,typical_business,4,86
3039,typical_business,5,40
3039,one_percent,0,275
3039,one_percent,1,59
3039,one_percent,2,33
3039,one_percent,3,42
3039,one_percent,4,83
3039,one_percent,5,33
3039,five_percent,0,282
3039,five_percent,1,60
3039,five_percent,2,28
3039,five_percent,3,45
3039,five_percent,4,92
3039,five_percent,5,18
8165,original,0,243
8165,original,1,67
